Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,176,310
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,355,621
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,529,935
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,704,1242
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,880,1555
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,1066,1851
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,1242,2154
