Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,484,1
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,970,4
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,1464,4
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1949,7
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,2436,8
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,2923,8
