Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,177,13
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,352,33
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,533,50
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,709,71
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,885,92
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,1066,109
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,1244,127
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,1424,139
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,1597,165
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,1782,177
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1963,193
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,2139,214
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,2320,227
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,2498,246
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,2678,257
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,2857,272
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,3038,289
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,3208,314
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,3385,333
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,3568,348
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,3753,360
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,3927,376
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,4106,392
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,4285,409
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,4466,424
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,4645,439
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,4824,456
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,5005,468
