Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,1,302,178
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,1,604,362
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,928,528
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,1,1234,708
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,1538,891
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1849,1057
