Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,171,20
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,341,42
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,2,509,72
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,678,98
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,852,120
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,1020,144
