Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,121,72
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,244,145
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,370,209
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,489,284
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,616,354
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,740,424
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,871,485
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,990,565
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,1,1128,626
