Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,0,130,62
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,1,252,132
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,390,186
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,526,247
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,646,321
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,762,401
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,1,907,456
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,1,1036,520
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1170,585
