Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,145,337
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,274,697
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,412,1045
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,1,546,1398
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,684,1747
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,825,2101
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
5,1,959,2451
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,1,1101,2796
