Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,176,10
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,360,27
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,535,46
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,0,718,60
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,894,79
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,1076,94
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,1248,118
