Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
6,1,177,301
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,351,617
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,522,934
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,696,1247
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
7,0,883,1549
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,1058,1865
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,0,1245,2169
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,1416,2484
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
8,1,1593,2799
