Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,485,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,967,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,1458,1
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,1945,3
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
4,0,2434,3
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
3,0,2919,3
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
2,0,3406,3
