Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,193,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,390,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,590,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,784,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
1,0,976,0
Number of Full Hospitals,Emergencies in queue,Completed emergencies,Lost in queue
0,0,1172,0
